Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,5595,"Caringbah, NSW",4 cyl,SUV, 4 Doors, 7 Seats,51990
MG,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,16,"Brookvale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
BMW,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6 L / 100 km,8472,"Sylvania, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,108988
Mercedes-Benz,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11 L / 100 km,136517,"Mount Druitt, NSW",8 cyl,Coupe, 2 Doors, 4 Seats,32990
Renault,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6 L / 100 km,1035,"Castle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,34990
Toyota,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,-,Other,Unleaded,-,160230,"Saint Marys, NSW",-,Commercial,,,9990
Land,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67662,"Blacktown, NSW",4 cyl,SUV, 2 Doors, 4 Seats,62280
Nissan,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8 L / 100 km,300539,"Wentworthville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,2995
Toyota,86,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1 L / 100 km,82012,"Mcgraths Hill, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,24888
Honda,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5 L / 100 km,38229,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17900
Toyota,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,-,Other,Unleaded,-,148190,"Lidcombe, NSW",-,Commercial,,,42500
Toyota,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8 L / 100 km,16324,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,41999
Honda,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,-,Other,Unleaded,-,181745,"Rouse Hill, NSW",-,,,,11999
