FullName,Winery,WineName,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,WinePrice
Domaine Coche-Dury Meursault Les Rougeots 2001,Domaine Coche-Dury,Meursault Les Rougeots,Burgundy,Côte de Beaune White,4.9,25,4.7,755,806.58
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2015,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,Burgundy,Côte de Beaune White,4.8,46,4.6,1191,680
Marcassin Marcassin Vineyard Chardonnay 2013,Marcassin,Marcassin Vineyard Chardonnay,Californian,Chardonnay,4.8,28,4.6,884,448
M. Chapoutier Ermitage Le Méal Blanc 2006,M. Chapoutier,Ermitage Le Méal Blanc,Northern Rhône,White,4.8,31,4.5,414,164.675
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2007,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,Burgundy,Côte de Beaune White,4.8,35,4.7,454,3478.36
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2009,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,Burgundy,Côte de Beaune White,4.8,35,4.7,454,4022.8
Keller G-Max Riesling 2009,Keller,G-Max Riesling,German,Riesling,4.8,37,4.7,209,2420
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2005,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Bordeaux,White,4.8,39,4.5,820,864
Domaine de La Romanée-Conti Montrachet Grand Cru 2010,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.8,43,4.7,1348,7249.11
Domaine de La Romanée-Conti Montrachet Grand Cru 2014,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.8,43,4.7,1348,5419.19
Domaine Coche-Dury Corton-Charlemagne Grand Cru 1998,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,Burgundy,Côte de Beaune White,4.8,27,4.7,454,2923.84
Domaine Coche-Dury Meursault Les Rougeots 2005,Domaine Coche-Dury,Meursault Les Rougeots,Burgundy,Côte de Beaune White,4.8,60,4.7,755,1008.22
Olivier Leflaive Bâtard-Montrachet Grand Cru 2012,Olivier Leflaive,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.8,56,4.5,796,366.68
Domaine de La Romanée-Conti Montrachet Grand Cru 1999,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.8,47,4.7,1348,6800
Domaine Leflaive Bâtard-Montrachet Grand Cru 2011,Domaine Leflaive,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,138,4.5,2064,393.21
F.X. Pichler Unendlich Riesling 2017,F.X. Pichler,Unendlich Riesling,Austrian,Riesling,4.9,49,4.7,489,207.17
Bachelet-Monnot Bâtard-Montrachet Grand Cru 2015,Bachelet-Monnot,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,30,4.4,174,260
Marqués de Murrieta Castillo Ygay Gran Reserva Especial Blanco 1986,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,Spanish,Rioja White,4.7,277,4.6,1341,599
La Grange des Pères Vin de Pays de l'Hérault Blanc 2014,La Grange des Pères,Vin de Pays de l'Hérault Blanc,Languedoc-Roussillon,White,4.5,90,4.5,632,223
Kistler Cuvée Cathleen Kistler Vineyard Chardonnay 2012,Kistler,Cuvée Cathleen Kistler Vineyard Chardonnay,Californian,Chardonnay,4.5,29,4.5,342,259
Olivier Leflaive Bâtard-Montrachet Grand Cru 2015,Olivier Leflaive,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.5,32,4.5,796,400
Château La Mission Haut-Brion Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves) 2007,Château La Mission Haut-Brion,Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves),,,4.4,71,4.3,974,250
Château Pape Clément Pessac-Léognan Blanc 2007,Château Pape Clément,Pessac-Léognan Blanc,Bordeaux,White,4.4,109,4.2,1133,220
Louis Jadot Bâtard-Montrachet Grand Cru 2005,Louis Jadot,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.3,33,4.4,758,245
Ornellaia Toscana Bianco 2015,Ornellaia,Toscana Bianco,Central Italy,White,4.2,57,4.4,279,226
Domaine de La Romanée-Conti Montrachet Grand Cru 2008,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,114,4.7,1348,7259.19
Domaine de La Romanée-Conti Montrachet Grand Cru 2007,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,85,4.7,1348,6056.22
Domaine de La Romanée-Conti Montrachet Grand Cru 2009,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,83,4.7,1348,6452.62
Fontaine-Gagnard Bâtard-Montrachet Grand Cru 2011,Fontaine-Gagnard,Bâtard-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,75,4.5,504,206.68
Domaine Coche-Dury Meursault Les Rougeots 2011,Domaine Coche-Dury,Meursault Les Rougeots,Burgundy,Côte de Beaune White,4.7,70,4.7,755,705.75
Quintarelli Giuseppe Veneto Amabile del Cere Passito Bianco 2003,Quintarelli Giuseppe,Veneto Amabile del Cere Passito Bianco,Northern Italy,White,4.7,66,4.6,184,377.4
Domaine Leflaive Chevalier-Montrachet Grand Cru 2013,Domaine Leflaive,Chevalier-Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,56,4.6,1498,524.28
Kongsgaard The Judge Chardonnay 2013,Kongsgaard,The Judge Chardonnay,Napa Valley,Chardonnay,4.7,56,4.6,371,722.68
Domaine Coche-Dury Meursault Les Rougeots 2007,Domaine Coche-Dury,Meursault Les Rougeots,Burgundy,Côte de Beaune White,4.7,56,4.7,755,846.91
Trimbach Clos Sainte Hune Riesling Alsace 1989,Trimbach,Clos Sainte Hune Riesling Alsace,Alsace,Riesling,4.7,54,4.4,2637,688
Sine Qua Non Deux Grenouilles 2016,Sine Qua Non,Deux Grenouilles,Californian,White Blend,4.7,50,4.7,57,244
Domaine de La Romanée-Conti Montrachet Grand Cru 2003,Domaine de La Romanée-Conti,Montrachet Grand Cru,Burgundy,Côte de Beaune White,4.7,47,4.7,1348,7057.55
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2013,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,Burgundy,Côte de Beaune White,4.7,47,4.6,572,554.52
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2007,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,Burgundy,Côte de Beaune White,4.7,44,4.6,572,655.34
